ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.885,0.069,0.234,-4.000,-44.000,15.000,53.650,97.290,48.950,0.39,-0.30,-0.35
0.891,0.050,0.145,-4.000,-44.000,15.000,55.054,88.379,56.030,0.40,-0.29,-0.35
0.850,0.126,0.087,-6.000,-47.000,9.000,56.152,67.993,64.270,0.42,-0.28,-0.34
0.866,0.173,0.048,-6.000,-47.000,9.000,47.668,48.706,63.354,0.43,-0.26,-0.33
0.894,0.178,0.048,-6.000,-47.000,9.000,43.152,29.541,61.462,0.43,-0.25,-0.32
0.925,0.241,0.151,-6.000,-47.000,9.000,40.405,15.137,58.655,0.43,-0.24,-0.31
0.903,0.232,0.168,-6.000,-47.000,9.000,41.260,10.254,52.979,0.44,-0.23,-0.30
0.884,0.229,0.092,-1.000,-48.000,7.000,42.725,7.202,52.002,0.44,-0.22,-0.29
0.915,0.149,-0.050,-1.000,-48.000,7.000,42.236,-3.906,52.673,0.44,-0.21,-0.28
0.917,0.108,-0.070,-1.000,-48.000,7.000,49.133,-28.931,62.805,0.43,-0.19,-0.27
0.872,0.148,0.172,-1.000,-48.000,7.000,65.063,-50.720,75.256,0.43,-0.18,-0.25
0.821,0.237,0.268,-1.000,-48.000,7.000,79.834,-50.842,77.942,0.42,-0.15,-0.24
0.808,0.278,0.281,-1.000,-48.000,7.000,90.515,-55.603,73.792,0.41,-0.13,-0.22
0.758,0.227,0.133,1.000,-51.000,12.000,94.971,-74.463,72.571,0.40,-0.11,-0.21
0.650,0.318,0.120,1.000,-51.000,12.000,69.092,-135.010,79.285,0.37,-0.09,-0.19
0.641,0.471,0.355,1.000,-51.000,12.000,58.899,-157.166,75.195,0.35,-0.08,-0.17
0.707,0.467,0.447,1.000,-51.000,12.000,77.515,-169.128,64.331,0.32,-0.06,-0.16
0.700,0.594,0.824,1.000,-51.000,12.000,111.511,-169.495,53.406,0.29,-0.03,-0.15
0.695,0.466,0.754,-1.000,-45.000,21.000,116.272,-116.333,19.897,0.27,-0.01,-0.14
0.616,0.301,0.615,-1.000,-45.000,21.000,97.778,-107.300,6.470,0.25,0.00,-0.14
0.561,0.316,0.620,-1.000,-45.000,21.000,75.134,-121.033,10.864,0.23,0.02,-0.14
0.568,0.384,0.650,-1.000,-45.000,21.000,55.847,-122.192,-8.667,0.20,0.03,-0.14
0.657,0.210,0.844,-1.000,-45.000,21.000,51.758,-112.244,-23.193,0.18,0.04,-0.15
0.660,0.046,1.058,-4.000,-41.000,32.000,49.744,-82.275,-10.132,0.17,0.04,-0.15
0.596,0.045,0.910,-4.000,-41.000,32.000,42.114,-62.988,-1.953,0.15,0.05,-0.15
0.516,0.146,0.783,-4.000,-41.000,32.000,25.269,-51.453,9.460,0.14,0.06,-0.15
0.456,0.215,0.660,-4.000,-41.000,32.000,16.968,-56.458,10.803,0.13,0.06,-0.15
0.479,0.291,0.772,-4.000,-41.000,32.000,15.442,-74.585,5.371,0.12,0.06,-0.15
0.491,0.341,0.900,-4.000,-41.000,32.000,22.461,-78.247,-5.981,0.10,0.07,-0.15
0.481,0.211,1.032,-3.000,-34.000,38.000,27.161,-63.965,-11.230,0.09,0.07,-0.15
0.466,0.080,0.909,-3.000,-34.000,38.000,5.310,-50.903,1.831,0.08,0.07,-0.15
0.438,0.202,0.833,-3.000,-34.000,38.000,-8.667,-47.363,7.385,0.07,0.07,-0.15
0.423,0.271,0.865,-3.000,-34.000,38.000,-8.911,-42.725,3.174,0.06,0.07,-0.15
0.409,0.244,0.845,-3.000,-34.000,38.000,-6.714,-27.893,-6.714,0.06,0.07,-0.15
0.387,0.267,0.811,-5.000,-31.000,46.000,-3.967,-28.320,-3.418,0.05,0.07,-0.15
0.388,0.253,0.931,-5.000,-31.000,46.000,-1.038,-44.800,-5.859,0.04,0.07,-0.16
0.388,0.254,0.963,-5.000,-31.000,46.000,-7.507,-45.593,-15.259,0.03,0.07,-0.16
0.385,0.259,0.927,-5.000,-31.000,46.000,-17.578,-38.208,-26.672,0.02,0.07,-0.16
0.400,0.149,0.854,-5.000,-31.000,46.000,-15.015,-44.800,-26.062,0.01,0.07,-0.17
0.377,0.222,0.924,-6.000,-24.000,46.000,-13.611,-47.302,-13.000,0.00,0.07,-0.17
0.344,0.348,0.926,-6.000,-24.000,46.000,-24.536,-40.588,-21.118,-0.00,0.06,-0.17
0.324,0.432,0.892,-6.000,-24.000,46.000,-32.227,-37.231,-29.541,-0.01,0.06,-0.18
0.320,0.384,0.888,-6.000,-24.000,46.000,-58.167,-37.109,-56.641,-0.02,0.05,-0.19
0.325,0.273,0.910,-6.000,-24.000,46.000,-55.969,-38.025,-65.979,-0.03,0.04,-0.20
0.322,0.257,0.969,-5.000,-7.000,60.000,-23.010,-37.415,-56.519,-0.03,0.04,-0.21
0.328,0.286,0.987,-5.000,-7.000,60.000,-3.418,-31.250,-51.697,-0.04,0.04,-0.22
0.330,0.317,1.086,-5.000,-7.000,60.000,3.052,-26.184,-56.152,-0.04,0.04,-0.23
0.323,0.335,1.098,-5.000,-7.000,60.000,1.953,-12.573,-66.467,-0.05,0.05,-0.24
0.311,0.369,1.066,-5.000,-7.000,60.000,-5.005,0.549,-78.796,-0.05,0.05,-0.25
0.301,0.235,0.956,-5.000,-7.000,60.000,-2.197,-2.136,-78.003,-0.05,0.05,-0.27
0.340,0.225,0.905,4.000,2.000,68.000,-16.907,-12.146,-70.740,-0.05,0.05,-0.28
0.331,0.276,1.064,4.000,2.000,68.000,-15.015,-13.855,-72.815,-0.06,0.05,-0.29
0.353,0.374,1.010,4.000,2.000,68.000,-15.625,-3.052,-91.736,-0.06,0.05,-0.31
0.317,0.210,1.018,4.000,2.000,68.000,-35.034,0.183,-118.774,-0.06,0.04,-0.33
0.314,0.121,1.016,4.000,2.000,68.000,-35.400,3.540,-118.835,-0.06,0.04,-0.35
0.297,0.149,0.966,22.000,-5.000,62.000,-25.757,6.104,-107.910,-0.06,0.04,-0.37
0.304,0.128,0.953,22.000,-5.000,62.000,-28.564,2.869,-96.069,-0.06,0.03,-0.38
0.336,0.236,1.047,22.000,-5.000,62.000,-61.279,11.536,-100.098,-0.06,0.02,-0.40
0.377,0.235,0.884,22.000,-5.000,62.000,-69.946,13.428,-115.845,-0.06,0.01,-0.42
0.346,0.083,0.941,22.000,-5.000,62.000,-63.904,6.653,-116.821,-0.06,0.01,-0.44
0.337,-0.061,1.024,18.000,-18.000,49.000,-49.988,5.005,-100.830,-0.06,-0.00,-0.45
0.345,-0.071,0.942,18.000,-18.000,49.000,-40.100,11.047,-67.322,-0.06,-0.01,-0.47
0.397,0.166,0.870,18.000,-18.000,49.000,-26.123,11.597,-37.170,-0.06,-0.01,-0.47
0.420,0.392,1.026,18.000,-18.000,49.000,-17.639,7.385,-42.603,-0.06,-0.01,-0.48
0.446,0.435,1.089,18.000,-18.000,49.000,-32.532,16.663,-76.416,-0.06,-0.02,-0.49
0.455,0.325,0.960,18.000,-18.000,49.000,-51.636,26.001,-106.750,-0.05,-0.02,-0.51
0.442,0.158,0.730,12.000,-23.000,45.000,-70.251,13.428,-115.662,-0.05,-0.03,-0.53
0.404,0.053,0.715,12.000,-23.000,45.000,-45.410,-10.315,-89.783,-0.06,-0.04,-0.54
0.424,0.030,1.006,12.000,-23.000,45.000,-23.315,-13.733,-72.571,-0.06,-0.04,-0.56
0.480,0.207,1.034,12.000,-23.000,45.000,6.714,2.930,-51.025,-0.06,-0.04,-0.57
0.496,0.129,0.969,12.000,-23.000,45.000,8.972,16.724,-63.110,-0.06,-0.04,-0.58
0.480,-0.047,1.039,4.000,-21.000,38.000,6.165,20.874,-58.960,-0.06,-0.03,-0.59
0.504,0.282,0.986,4.000,-21.000,38.000,-21.790,37.964,-43.457,-0.06,-0.04,-0.59
0.512,0.316,0.878,4.000,-21.000,38.000,-83.496,46.448,-73.059,-0.05,-0.05,-0.61
0.481,0.092,0.760,4.000,-21.000,38.000,-72.205,36.011,-75.684,-0.05,-0.06,-0.62
0.519,0.121,0.853,4.000,-21.000,38.000,-64.087,29.663,-66.711,-0.05,-0.07,-0.63
0.510,0.105,0.935,5.000,-24.000,41.000,-65.063,35.339,-67.627,-0.04,-0.08,-0.64
0.545,0.241,0.858,5.000,-24.000,41.000,-87.341,46.753,-65.613,-0.04,-0.09,-0.65
0.617,0.405,0.895,5.000,-24.000,41.000,-122.131,51.270,-78.857,-0.03,-0.11,-0.67
0.571,0.150,0.840,5.000,-24.000,41.000,-120.483,59.814,-104.370,-0.03,-0.13,-0.69
0.547,0.093,0.809,5.000,-24.000,41.000,-68.970,58.411,-91.370,-0.02,-0.14,-0.70
0.572,0.100,0.728,4.000,-30.000,37.000,-46.814,64.941,-70.557,-0.01,-0.15,-0.72
0.604,0.142,0.616,4.000,-30.000,37.000,-40.771,72.632,-59.631,-0.00,-0.15,-0.73
0.715,0.521,0.555,4.000,-30.000,37.000,-72.815,61.707,-80.811,0.00,-0.16,-0.74
0.729,0.312,0.647,4.000,-30.000,37.000,-57.800,63.049,-116.089,0.01,-0.17,-0.77
0.684,0.089,0.780,4.000,-30.000,37.000,-30.151,62.439,-113.586,0.01,-0.18,-0.79
