delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.100,0.698,-0.552,0.590,-27.000,-32.000,8.000,1.072,0.420,-1.408,0.14,-0.29,-1.90
0.101,0.699,-0.680,0.201,-28.000,-28.000,6.000,1.815,2.017,-0.937,0.35,-0.45,-1.93
0.100,0.671,-0.520,0.130,-32.000,-29.000,-1.000,1.095,0.566,-0.781,0.43,-0.54,-1.98
0.101,0.704,-0.656,0.086,-33.000,-21.000,-8.000,0.664,0.860,-0.581,0.53,-0.59,-2.00
0.100,0.728,-0.693,-0.000,-31.000,-22.000,-11.000,0.319,-0.029,-0.124,0.52,-0.61,-2.03
0.101,0.945,-0.759,-0.106,-34.000,-22.000,-15.000,0.566,0.309,0.014,0.54,-0.67,-2.02
0.101,0.874,-0.833,-0.223,-30.000,-24.000,-13.000,-1.382,0.466,1.431,0.48,-0.60,-1.86
0.101,1.014,-0.398,-0.202,-25.000,-32.000,-20.000,0.902,1.153,1.371,0.47,-0.79,-1.67
0.100,0.781,-0.496,-0.579,-24.000,-28.000,-25.000,0.196,0.534,-1.163,0.58,-0.79,-1.73
0.091,0.887,-0.530,-0.215,-25.000,-28.000,-21.000,-0.524,-0.735,-0.750,0.57,-0.68,-1.85
0.101,0.897,-0.403,-0.299,-24.000,-30.000,-25.000,0.462,0.086,1.014,0.50,-0.77,-1.76
0.101,0.818,-0.491,-0.353,-17.000,-33.000,-25.000,1.381,0.092,1.601,0.37,-0.97,-1.64
0.101,0.853,-0.073,-0.257,-11.000,-36.000,-24.000,1.796,-0.094,2.002,0.17,-1.18,-1.55
0.101,0.979,0.280,-0.170,-3.000,-39.000,-27.000,1.169,-0.354,1.753,-0.03,-1.31,-1.53
0.101,0.952,0.219,-0.125,2.000,-40.000,-29.000,0.818,-0.590,1.499,-0.21,-1.39,-1.55
0.101,0.902,0.405,-0.179,12.000,-43.000,-27.000,0.754,-0.569,1.374,-0.37,-1.49,-1.60
0.100,0.821,0.470,-0.037,16.000,-41.000,-24.000,0.371,-0.548,1.220,-0.51,-1.56,-1.64
0.101,0.779,0.557,0.095,20.000,-41.000,-17.000,0.056,-0.526,1.090,-0.63,-1.60,-1.70
0.100,0.761,0.683,0.199,24.000,-40.000,-15.000,0.074,-0.265,1.084,-0.73,-1.63,-1.72
0.111,0.666,0.637,0.185,28.000,-42.000,-17.000,-0.039,-0.436,0.864,-0.83,-1.67,-1.79
0.091,0.588,0.791,0.111,32.000,-39.000,-14.000,0.361,-0.343,0.981,-0.91,-1.75,-1.84
0.100,0.467,0.821,0.141,34.000,-37.000,-11.000,0.456,-0.827,1.163,-0.99,-1.94,-2.02
0.101,0.369,0.933,0.335,37.000,-33.000,-5.000,0.735,-0.639,1.236,-1.07,-2.20,-2.22
0.101,0.251,0.852,0.383,44.000,-30.000,3.000,1.202,-0.565,1.323,-1.12,-2.57,-2.50
0.101,0.118,0.742,0.349,44.000,-24.000,6.000,0.734,-0.373,1.163,-1.14,-2.89,-2.78
0.100,-0.007,0.622,0.530,46.000,-16.000,7.000,0.472,-0.760,1.253,-1.08,3.08,-3.07
0.091,-0.123,0.716,0.558,44.000,-11.000,11.000,0.999,-0.598,1.139,-1.02,2.84,3.03
0.101,-0.276,0.715,0.622,40.000,-8.000,21.000,2.221,-0.232,1.487,-0.93,2.44,2.82
0.100,-0.373,0.509,0.912,36.000,-2.000,22.000,1.419,-1.114,1.652,-0.73,2.25,2.76
0.100,-0.479,0.549,0.823,33.000,2.000,29.000,0.410,-0.246,1.424,-0.61,2.15,2.68
0.101,-0.508,0.458,0.988,29.000,5.000,28.000,0.715,-0.209,1.401,-0.47,2.05,2.62
0.100,-0.561,0.380,1.134,26.000,7.000,28.000,0.724,0.619,1.267,-0.38,1.92,2.50
0.100,-0.506,0.228,0.857,26.000,2.000,34.000,0.585,1.628,0.795,-0.35,1.79,2.30
0.101,-0.377,0.103,1.013,26.000,2.000,33.000,0.387,1.398,0.305,-0.34,1.69,2.15
0.100,-0.240,0.051,0.930,25.000,-3.000,33.000,0.246,1.524,-0.067,-0.36,1.61,1.98
0.102,-0.087,-0.063,0.963,24.000,-4.000,36.000,0.157,1.275,-0.135,-0.37,1.53,1.84
0.100,0.026,-0.051,1.081,22.000,-12.000,40.000,-0.222,1.323,-0.242,-0.39,1.49,1.69
0.100,0.142,0.027,0.864,28.000,-17.000,34.000,-1.289,0.764,-0.594,-0.45,1.58,1.60
0.111,0.257,0.023,0.985,29.000,-18.000,32.000,-0.852,1.093,-1.159,-0.58,1.59,1.46
0.090,0.313,0.194,1.026,28.000,-23.000,28.000,-0.616,1.272,-0.967,-0.67,1.56,1.31
0.100,0.427,0.262,1.085,29.000,-27.000,22.000,-0.717,1.063,-0.444,-0.72,1.52,1.16
0.100,0.636,0.203,0.888,30.000,-35.000,19.000,-0.812,1.585,-0.504,-0.76,1.44,0.92
0.092,0.759,0.141,0.625,30.000,-37.000,13.000,-0.764,1.527,-0.252,-0.76,1.36,0.72
0.100,0.843,0.124,0.432,33.000,-40.000,7.000,-0.443,1.753,-0.157,-0.74,1.23,0.47
0.100,0.893,0.239,0.328,30.000,-39.000,-1.000,-0.310,1.565,-0.043,-0.70,1.12,0.26
0.102,0.929,0.262,0.226,29.000,-40.000,-2.000,-0.066,1.449,-0.003,-0.65,1.01,0.10
0.100,0.894,0.240,0.003,34.000,-38.000,-6.000,-0.063,1.466,0.060,-0.58,0.94,-0.05
0.100,0.841,0.298,-0.246,31.000,-36.000,-16.000,-0.314,1.383,-0.312,-0.54,0.89,-0.19
0.101,0.843,-0.034,-0.410,28.000,-37.000,-19.000,-2.727,1.025,-1.733,-0.64,1.06,-0.39
0.101,0.939,-0.059,-0.427,22.000,-36.000,-25.000,-0.731,0.522,-0.451,-0.66,1.10,-0.46
0.101,0.952,-0.207,-0.312,11.000,-36.000,-27.000,-2.911,0.108,-1.578,-0.82,1.35,-0.52
0.101,0.912,-0.648,-0.261,1.000,-37.000,-29.000,-1.383,0.133,-1.324,-0.94,1.48,-0.55
0.101,0.934,-0.376,-0.309,-1.000,-36.000,-32.000,-0.991,0.065,0.505,-0.89,1.60,-0.53
0.101,0.928,-0.147,-0.277,-1.000,-34.000,-31.000,-0.717,0.552,0.633,-0.83,1.64,-0.59
0.100,0.816,-0.301,-0.428,-4.000,-30.000,-29.000,-1.058,0.809,-0.304,-0.87,1.68,-0.68
0.101,0.726,-0.584,-0.441,-10.000,-29.000,-27.000,-0.729,0.328,-0.718,-0.94,1.76,-0.70
0.101,0.749,-0.428,-0.514,-14.000,-28.000,-33.000,-1.272,0.240,-0.342,-0.97,1.90,-0.70
0.101,0.612,-0.838,-0.237,-24.000,-26.000,-27.000,-3.831,0.408,-0.830,-1.05,2.28,-0.70
0.101,0.622,-0.905,-0.224,-31.000,-21.000,-16.000,-0.679,0.403,-0.164,-1.09,2.29,-0.77
0.101,0.726,-0.453,-0.111,-29.000,-24.000,-13.000,-0.633,-0.083,0.815,-1.03,2.25,-0.89
0.090,0.766,-0.359,-0.015,-30.000,-26.000,-10.000,-2.407,0.062,0.778,-0.99,2.38,-1.01
0.101,0.729,-0.331,0.379,-27.000,-29.000,-1.000,-2.656,-0.903,0.696,-0.89,2.63,-1.03
0.101,0.710,-0.083,0.379,-25.000,-36.000,6.000,-1.229,-0.458,1.214,-0.80,2.65,-1.16
0.101,0.813,0.100,0.674,-20.000,-40.000,13.000,-1.287,0.140,1.403,-0.75,2.65,-1.36
0.100,0.913,0.187,0.670,-13.000,-42.000,11.000,-1.078,0.675,1.821,-0.73,2.58,-1.62
0.101,0.783,0.444,0.222,0.000,-48.000,12.000,-0.799,1.339,3.215,-0.65,2.38,-2.06
0.101,0.648,0.800,-0.050,13.000,-49.000,5.000,-0.152,1.625,3.878,-0.46,2.17,-2.50
0.101,0.546,0.955,0.075,28.000,-45.000,2.000,0.222,0.508,3.301,-0.22,2.07,-2.73
0.100,0.384,1.219,0.186,38.000,-34.000,10.000,0.240,0.246,2.698,0.01,2.03,-2.87
0.101,0.138,1.166,0.312,37.000,-23.000,11.000,0.735,0.137,2.577,0.24,1.97,-2.99
0.100,-0.074,1.236,0.387,34.000,-17.000,11.000,0.832,0.084,2.518,0.47,1.93,-3.10
0.101,-0.170,0.899,0.750,35.000,-17.000,9.000,1.404,1.604,1.350,0.55,1.90,2.95
0.100,-0.199,0.839,0.842,40.000,-20.000,11.000,1.616,3.006,-0.153,0.44,1.88,2.64
0.101,0.119,0.839,0.408,38.000,-26.000,15.000,0.115,2.479,-1.606,0.21,1.93,2.44
0.100,0.243,0.700,0.234,33.000,-33.000,4.000,-1.202,0.826,-3.440,-0.14,2.05,2.51
0.100,0.525,0.351,0.566,20.000,-43.000,4.000,-0.867,0.134,-3.180,-0.43,2.18,2.67
0.101,0.788,0.480,0.476,12.000,-48.000,3.000,-0.272,-0.083,-2.131,-0.60,2.29,2.83
0.091,0.765,-0.157,0.549,0.000,-48.000,9.000,0.034,0.157,-2.703,-0.80,2.41,3.04
0.100,0.755,-0.396,0.732,-1.000,-48.000,2.000,0.144,0.361,-0.948,-0.89,2.44,3.11
0.101,0.964,0.212,0.268,-6.000,-45.000,0.000,-0.360,0.044,-0.950,-0.96,2.58,-3.04
0.101,0.770,-0.242,0.388,-10.000,-48.000,3.000,-1.432,-0.789,-1.406,-0.95,2.95,-2.76
0.101,0.752,-0.219,0.558,-16.000,-40.000,12.000,-0.455,-1.511,-1.727,-0.82,-3.07,-2.47
0.101,0.641,-0.134,0.774,-16.000,-35.000,32.000,-0.779,-1.692,-1.224,-0.63,-2.90,-2.34
0.111,0.551,-0.193,0.936,-13.000,-27.000,40.000,-0.606,-0.476,-0.998,-0.55,-2.77,-2.23
0.090,0.520,-0.194,0.839,-10.000,-25.000,38.000,-0.405,-0.305,-1.242,-0.49,-2.68,-2.12
0.101,0.339,-0.278,1.044,-12.000,-24.000,33.000,-0.070,0.624,-1.710,-0.46,-2.58,-1.91
0.101,0.348,-0.182,1.177,-19.000,-21.000,26.000,-0.222,0.776,-1.813,-0.42,-2.46,-1.70
0.101,0.382,-0.563,0.791,-26.000,-20.000,18.000,0.313,2.153,-1.920,-0.46,-2.36,-1.38
0.100,0.533,-0.627,0.671,-30.000,-17.000,18.000,0.084,2.355,-1.054,-0.55,-2.23,-1.09
0.111,0.576,-0.700,0.645,-31.000,-17.000,14.000,0.203,2.523,-0.703,-0.65,-2.06,-0.76
0.091,0.666,-0.725,0.126,-32.000,-22.000,14.000,-0.074,3.074,-0.076,-0.76,-1.83,-0.41
0.101,0.731,-0.720,-0.226,-32.000,-25.000,10.000,-0.086,1.903,0.371,-0.84,-1.64,-0.15
0.101,0.807,-0.622,-0.150,-30.000,-31.000,5.000,-0.435,1.877,1.419,-0.99,-1.34,0.17
0.091,0.945,-0.387,-0.180,-24.000,-35.000,3.000,-0.117,1.479,1.375,-1.07,-1.05,0.50
0.101,0.785,-0.481,-0.320,-22.000,-40.000,3.000,0.549,1.491,0.975,-1.08,-0.77,0.88
0.100,0.802,-0.260,-0.533,-16.000,-42.000,-8.000,1.573,0.281,0.968,-1.14,-0.76,1.08
0.101,0.867,0.023,-0.502,-9.000,-47.000,-7.000,1.620,-0.528,1.594,-1.30,-0.71,1.30
0.100,0.880,0.327,-0.337,-1.000,-49.000,-9.000,1.250,-0.656,1.825,-1.45,-0.18,1.95
0.102,0.862,0.410,-0.155,9.000,-49.000,-5.000,1.113,-0.385,1.811,-1.42,1.09,-2.94
0.101,0.712,0.582,-0.066,20.000,-48.000,1.000,2.084,-1.252,2.445,-1.21,1.59,-2.22
0.101,0.551,0.639,0.235,26.000,-43.000,19.000,3.056,-2.428,1.681,-1.03,1.75,-1.71
0.100,0.399,1.163,0.583,26.000,-36.000,33.000,1.368,-3.182,0.950,-0.85,1.99,-1.24
0.101,0.431,0.728,0.958,18.000,-33.000,46.000,1.248,0.031,-1.013,-0.96,1.90,-1.19
0.100,0.648,0.524,0.689,11.000,-38.000,43.000,0.327,0.522,-0.252,-1.00,1.80,-1.28
0.101,0.549,0.514,0.841,12.000,-37.000,38.000,-0.434,0.144,0.571,-0.96,1.79,-1.34
0.100,0.559,0.433,0.566,17.000,-43.000,30.000,-0.412,0.689,0.425,-0.93,1.71,-1.48
0.111,0.499,0.524,0.798,26.000,-38.000,25.000,-0.724,0.615,1.256,-0.81,1.68,-1.62
0.090,0.409,0.591,0.742,40.000,-37.000,18.000,-0.593,0.940,1.484,-0.69,1.64,-1.76
0.100,0.280,0.915,0.261,47.000,-40.000,27.000,-0.210,1.955,1.369,-0.56,1.51,-2.01
0.101,0.278,0.998,-0.069,35.000,-41.000,19.000,0.031,2.075,0.570,-0.49,1.39,-2.24
0.091,0.275,1.165,0.159,24.000,-41.000,0.000,0.107,1.796,0.266,-0.44,1.30,-2.42
0.100,0.305,0.852,0.191,23.000,-36.000,-5.000,-0.309,0.817,-0.045,-0.43,1.29,-2.51
0.100,0.315,0.779,-0.030,25.000,-36.000,-7.000,0.208,0.680,0.135,-0.41,1.25,-2.57
0.111,0.205,0.857,-0.178,29.000,-32.000,-13.000,-0.644,0.457,0.807,-0.32,1.31,-2.60
0.090,0.140,1.343,0.313,30.000,-29.000,-17.000,-0.892,0.320,0.383,-0.28,1.39,-2.62
0.111,0.246,0.989,0.034,32.000,-28.000,-23.000,-0.183,0.949,0.055,-0.27,1.38,-2.73
0.101,0.149,1.271,0.016,33.000,-28.000,-24.000,-0.088,1.322,-0.047,-0.25,1.35,-2.87
0.101,0.093,1.225,-0.164,33.000,-23.000,-23.000,0.372,1.286,-0.603,-0.28,1.28,-3.01
0.090,0.052,1.245,-0.367,32.000,-27.000,-24.000,1.083,1.692,-2.171,-0.41,1.10,3.04
0.100,0.305,0.960,-0.414,30.000,-30.000,-27.000,0.308,0.399,-2.254,-0.60,0.99,2.86
0.101,0.583,0.726,-0.273,24.000,-35.000,-33.000,0.130,0.747,-2.425,-0.76,0.80,2.58
0.101,0.666,0.638,-0.387,19.000,-37.000,-24.000,-0.138,0.509,-1.861,-0.86,0.62,2.32
0.101,0.828,0.396,-0.270,13.000,-39.000,-34.000,-0.457,0.502,-1.438,-0.92,0.48,2.07
0.101,0.853,-0.010,-0.119,1.000,-38.000,-33.000,-0.656,0.154,-2.093,-0.99,0.26,1.71
0.101,0.835,-0.260,-0.403,-4.000,-34.000,-26.000,-0.445,-0.046,-2.019,-1.04,-0.01,1.34
0.101,0.779,-0.186,-0.520,-10.000,-33.000,-27.000,-0.412,0.243,-1.700,-1.01,-0.24,1.02
0.100,0.748,-0.404,-0.229,-17.000,-34.000,-22.000,-0.521,-0.098,-1.593,-0.98,-0.41,0.75
0.091,0.752,-0.755,0.120,-22.000,-31.000,-22.000,-0.647,-0.473,-1.946,-0.95,-0.58,0.46
0.101,0.656,-0.691,-0.032,-27.000,-26.000,-17.000,-0.534,-0.222,-0.917,-0.93,-0.63,0.32
0.100,0.633,-0.853,0.123,-31.000,-22.000,-15.000,-0.525,-0.621,-1.406,-0.90,-0.75,0.09
0.101,0.561,-0.747,0.213,-33.000,-20.000,-16.000,-0.706,-0.221,-1.088,-0.86,-0.77,-0.04
0.101,0.413,-0.992,0.100,-37.000,-14.000,-9.000,-0.457,0.050,-1.306,-0.78,-0.81,-0.16
0.101,0.317,-0.967,0.229,-35.000,-5.000,-8.000,-0.354,0.018,-0.996,-0.72,-0.82,-0.24
0.101,0.229,-1.096,0.185,-31.000,-3.000,-5.000,-0.363,0.261,-1.148,-0.63,-0.82,-0.31
0.101,0.166,-1.071,0.045,-33.000,-1.000,-9.000,-0.208,0.736,-0.684,-0.54,-0.78,-0.30
0.101,0.145,-1.015,0.013,-32.000,1.000,-7.000,-0.192,0.652,-0.511,-0.47,-0.75,-0.28
0.101,0.097,-0.971,0.052,-32.000,1.000,-5.000,-0.399,0.826,-0.092,-0.41,-0.67,-0.23
0.100,0.102,-0.925,0.357,-32.000,1.000,-2.000,-0.427,0.781,0.229,-0.37,-0.59,-0.15
0.101,0.112,-1.098,0.251,-34.000,1.000,0.000,-0.614,1.037,0.616,-0.32,-0.47,-0.04
0.101,0.224,-0.809,0.045,-33.000,-2.000,-2.000,-0.290,0.899,1.224,-0.30,-0.38,0.13
0.100,0.344,-0.912,0.182,-34.000,-4.000,0.000,-0.157,0.329,1.088,-0.32,-0.31,0.25
0.102,0.451,-0.937,0.200,-38.000,-8.000,-1.000,0.138,0.213,1.113,-0.34,-0.27,0.38
0.100,0.541,-0.850,0.220,-36.000,-16.000,-2.000,0.355,0.535,1.376,-0.34,-0.24,0.55
0.091,0.610,-0.516,0.154,-39.000,-21.000,0.000,0.479,0.349,1.444,-0.35,-0.22,0.70
0.100,0.683,-0.546,0.116,-34.000,-26.000,-5.000,0.812,-0.001,1.893,-0.41,-0.22,0.91
0.100,0.829,-0.510,0.023,-30.000,-30.000,-2.000,0.407,-0.203,1.289,-0.47,-0.19,1.05
0.100,0.896,-0.649,0.037,-29.000,-33.000,-7.000,0.672,-0.544,0.631,-0.55,-0.22,1.12
0.101,0.855,-0.496,-0.062,-23.000,-41.000,-6.000,0.242,-0.609,0.844,-0.64,-0.19,1.21
0.101,0.869,-0.127,0.238,-18.000,-43.000,1.000,0.044,-0.723,1.177,-0.75,-0.10,1.36
0.101,0.887,-0.024,0.370,-16.000,-46.000,0.000,-0.042,-0.413,1.106,-0.80,0.02,1.52
0.101,0.915,-0.197,0.226,-8.000,-50.000,9.000,-0.143,-0.173,1.070,-0.82,0.15,1.69
0.101,0.857,0.127,0.560,-4.000,-46.000,11.000,-0.223,-0.475,1.496,-0.84,0.33,1.91
0.111,0.819,0.271,0.495,1.000,-52.000,13.000,0.034,-0.022,1.296,-0.80,0.45,2.09
0.091,0.805,0.285,0.529,2.000,-53.000,9.000,0.072,0.095,1.274,-0.75,0.52,2.21
0.100,0.733,0.355,0.455,5.000,-49.000,10.000,0.066,0.232,1.472,-0.66,0.59,2.35
0.111,0.636,0.603,0.396,8.000,-45.000,6.000,0.095,0.754,1.385,-0.52,0.61,2.43
0.090,0.629,0.604,0.489,13.000,-44.000,0.000,-0.078,0.567,1.283,-0.42,0.64,2.49
0.100,0.589,0.686,0.591,15.000,-42.000,-1.000,-0.140,0.536,1.007,-0.33,0.66,2.53
0.101,0.554,0.672,0.446,22.000,-37.000,-8.000,-0.164,0.801,0.717,-0.23,0.67,2.53
0.101,0.471,0.901,0.200,26.000,-33.000,-5.000,-0.252,0.762,0.690,-0.14,0.68,2.53
0.100,0.491,0.943,0.163,28.000,-35.000,-11.000,-0.112,0.729,0.097,-0.09,0.68,2.49
0.090,0.461,0.952,0.063,30.000,-32.000,-17.000,-0.004,0.937,-0.006,-0.03,0.67,2.43
0.100,0.452,0.830,0.053,31.000,-30.000,-20.000,-0.082,0.924,0.118,0.05,0.67,2.37
0.101,0.452,0.820,0.082,31.000,-30.000,-23.000,-0.072,0.818,-0.074,0.10,0.68,2.31
0.100,0.397,1.008,-0.046,32.000,-29.000,-20.000,0.150,1.197,-0.548,0.16,0.67,2.19
0.101,0.367,1.104,-0.163,32.000,-28.000,-23.000,0.152,0.409,-0.848,0.14,0.66,2.09
0.100,0.503,0.627,-0.182,28.000,-33.000,-25.000,-0.125,0.022,-1.823,0.02,0.68,1.93
0.100,0.635,0.434,-0.047,21.000,-38.000,-25.000,-0.137,0.116,-1.911,-0.11,0.68,1.77
0.111,0.753,0.435,-0.088,19.000,-39.000,-25.000,-0.052,0.022,-1.829,-0.25,0.65,1.60
0.091,0.885,0.466,-0.069,13.000,-44.000,-21.000,-0.537,-0.123,-1.636,-0.36,0.66,1.48
0.100,0.947,0.133,-0.163,4.000,-41.000,-21.000,-0.784,-0.395,-0.854,-0.47,0.72,1.44
0.101,0.911,0.138,-0.151,2.000,-43.000,-27.000,-0.051,-0.010,-1.021,-0.55,0.68,1.35
0.101,0.911,0.015,0.110,-1.000,-43.000,-21.000,-0.618,-0.362,-1.658,-0.70,0.66,1.22
0.100,0.974,-0.656,0.232,-12.000,-41.000,-18.000,-0.271,-0.569,-2.128,-0.88,0.55,1.03
0.101,0.825,-0.122,0.156,-15.000,-41.000,-16.000,-0.623,-1.435,-1.410,-1.08,0.55,0.96
0.101,0.779,-0.153,0.036,-22.000,-38.000,-13.000,-0.470,-0.218,-0.982,-1.16,0.45,0.80
0.101,0.764,-0.521,0.146,-28.000,-36.000,-17.000,-0.317,-0.042,-0.886,-1.21,0.31,0.63
0.091,0.734,-0.905,0.242,-29.000,-32.000,-9.000,-0.112,0.436,-1.518,-1.19,-0.01,0.28
0.111,0.636,-0.866,0.158,-33.000,-26.000,-10.000,-0.337,0.345,-1.219,-1.15,-0.23,-0.01
0.090,0.520,-0.805,0.199,-35.000,-22.000,-9.000,-0.247,0.166,-1.358,-1.11,-0.41,-0.24
0.101,0.446,-0.989,0.074,-38.000,-18.000,-7.000,-0.137,0.156,-0.737,-1.08,-0.48,-0.34
0.101,0.407,-0.913,0.190,-36.000,-14.000,-4.000,-0.279,0.207,-0.489,-1.05,-0.49,-0.38
0.101,0.328,-0.959,0.293,-37.000,-6.000,-5.000,-0.142,0.458,-1.175,-0.96,-0.57,-0.51
0.101,0.255,-1.063,0.150,-36.000,-3.000,-7.000,-0.177,0.568,-0.631,-0.89,-0.56,-0.53
0.100,0.193,-1.066,0.184,-35.000,-2.000,-2.000,-0.358,0.539,-0.594,-0.83,-0.53,-0.55
0.101,0.205,-1.019,0.208,-34.000,-3.000,-4.000,-0.375,0.536,0.505,-0.82,-0.40,-0.43
0.101,0.262,-1.093,-0.026,-36.000,-5.000,-3.000,-0.092,0.555,0.644,-0.80,-0.28,-0.30
0.100,0.343,-0.676,-0.112,-35.000,-8.000,-2.000,-0.327,0.680,0.524,-0.76,-0.17,-0.19
0.101,0.451,-0.878,0.376,-37.000,-12.000,-3.000,-0.448,0.446,0.829,-0.74,-0.02,-0.06
0.111,0.528,-0.923,0.564,-37.000,-14.000,0.000,-0.365,0.742,0.995,-0.66,0.13,0.10
0.091,0.660,-1.001,0.653,-35.000,-21.000,-2.000,-0.686,0.845,1.229,-0.57,0.28,0.23
0.101,0.746,-0.686,0.412,-32.000,-28.000,-5.000,-0.248,0.814,0.980,-0.48,0.35,0.32
0.111,0.808,-0.458,0.026,-29.000,-29.000,-2.000,0.142,0.902,1.129,-0.36,0.38,0.42
0.090,0.843,-0.341,0.035,-27.000,-32.000,-3.000,0.135,0.682,1.655,-0.26,0.41,0.55
0.091,0.923,-0.472,-0.063,-23.000,-36.000,-7.000,0.089,0.176,1.803,-0.19,0.44,0.71
0.101,0.979,-0.353,-0.020,-18.000,-44.000,-5.000,-0.300,0.065,1.694,-0.12,0.50,0.87
0.101,0.990,-0.127,0.005,-9.000,-45.000,-10.000,0.206,0.283,0.822,-0.07,0.49,0.93
0.100,0.977,-0.041,-0.091,-9.000,-47.000,-13.000,0.431,0.696,0.558,-0.00,0.45,0.96
0.100,0.926,0.304,-0.324,-6.000,-45.000,-9.000,0.572,0.600,0.853,0.07,0.38,1.02
0.101,0.782,0.989,-0.380,0.000,-49.000,-15.000,0.692,0.114,0.912,0.10,0.29,1.11
0.100,0.929,0.489,0.190,-5.000,-47.000,-12.000,0.050,-0.450,-0.749,0.02,0.28,1.06
0.101,0.917,0.122,0.101,-6.000,-47.000,-12.000,0.129,-0.693,-0.851,-0.09,0.26,1.00
0.100,0.914,-0.032,0.184,-13.000,-46.000,-11.000,0.518,-0.659,-1.104,-0.20,0.20,0.91
0.100,0.965,-0.140,0.312,-15.000,-43.000,-11.000,-0.032,-0.607,-1.105,-0.30,0.18,0.82
0.101,0.915,-0.497,-0.027,-21.000,-39.000,-13.000,0.348,0.361,-1.644,-0.30,0.10,0.65
0.111,0.816,-0.459,0.119,-24.000,-34.000,-12.000,-0.207,-0.319,-1.649,-0.37,0.07,0.47
0.091,0.788,-0.594,0.011,-24.000,-32.000,-14.000,-0.187,-0.173,-1.407,-0.40,0.04,0.35
0.101,0.760,-0.701,0.041,-29.000,-29.000,-13.000,-0.276,0.232,-0.994,-0.40,0.04,0.25
0.100,0.698,-0.702,-0.055,-31.000,-26.000,-9.000,-0.518,0.666,-1.209,-0.35,0.05,0.12
0.100,0.612,-0.308,0.699,-36.000,-22.000,-5.000,-0.981,0.536,-1.197,-0.33,0.11,0.00
0.111,0.531,-0.393,0.154,-35.000,-14.000,-9.000,-0.807,0.572,-0.031,-0.28,0.20,-0.01
0.091,0.465,-0.762,-0.092,-38.000,-5.000,-2.000,0.046,-0.053,-0.785,-0.31,0.19,-0.07
0.091,0.413,-1.360,-0.200,-39.000,-1.000,-8.000,0.136,0.021,-1.466,-0.34,0.15,-0.21
0.101,0.186,-1.246,0.124,-36.000,2.000,-12.000,0.349,0.110,-2.660,-0.37,0.03,-0.49
0.100,0.099,-1.318,-0.035,-34.000,9.000,-7.000,-0.716,-0.858,-0.974,-0.47,0.08,-0.58
0.101,0.001,-0.656,0.117,-33.000,6.000,-4.000,-0.741,-1.566,0.819,-0.62,0.24,-0.46
0.100,0.134,-0.953,0.458,-33.000,6.000,-12.000,-0.408,-1.616,0.035,-0.77,0.35,-0.38
0.101,0.135,-0.862,0.219,-35.000,2.000,-10.000,-0.669,-1.430,0.706,-0.87,0.58,-0.17
0.101,0.047,-0.785,0.300,-35.000,4.000,-14.000,-0.494,-1.304,-0.145,-0.97,0.75,-0.04
0.100,-0.066,-0.621,0.437,-38.000,1.000,-20.000,-1.096,-1.408,-0.388,-1.08,1.00,0.13
0.101,-0.187,-0.890,0.682,-46.000,4.000,-14.000,-0.600,-1.824,0.128,-1.12,1.40,0.51
0.101,-0.280,-0.658,0.587,-46.000,10.000,-5.000,-0.650,-0.760,-1.209,-1.24,1.61,0.67
0.101,-0.384,-0.752,0.501,-42.000,15.000,-3.000,-0.154,-0.780,-0.590,-1.28,1.88,0.94
0.101,-0.440,-0.945,-0.048,-38.000,14.000,-1.000,-0.249,-0.657,0.788,-1.17,1.99,1.02
0.101,-0.443,-0.896,0.282,-37.000,12.000,-1.000,0.049,-0.836,0.255,-1.09,2.10,1.16
0.101,-0.483,-0.714,0.258,-35.000,11.000,-4.000,-0.208,-0.847,0.224,-1.02,2.21,1.26
0.101,-0.541,-0.642,0.286,-36.000,12.000,-5.000,-0.725,-1.022,0.108,-0.94,2.38,1.38
0.101,-0.634,-0.631,0.604,-35.000,9.000,-3.000,-1.393,-2.193,0.640,-0.73,2.60,1.50
0.090,-0.767,-0.448,0.348,-35.000,4.000,5.000,-2.078,-3.244,1.124,-0.42,2.81,1.53
0.100,-0.652,-0.797,0.626,-37.000,4.000,12.000,-2.174,-2.090,1.156,-0.19,3.00,1.47
0.112,-0.575,-0.658,0.607,-36.000,-3.000,17.000,-1.916,-0.981,1.237,-0.07,-3.09,1.34
0.101,-0.613,-0.493,0.450,-36.000,-9.000,21.000,-0.917,0.028,2.360,-0.09,-3.01,1.10
0.101,-0.763,0.014,1.292,-36.000,-16.000,10.000,1.960,4.337,1.079,-0.52,3.04,1.00
0.090,-0.219,-1.272,-0.115,-36.000,-16.000,11.000,-0.334,2.580,-1.687,-0.76,-3.11,1.17
0.111,-0.182,-1.159,0.185,-37.000,-12.000,3.000,0.730,1.522,-1.839,-0.91,-2.95,1.50
0.091,-0.481,-0.385,0.057,-40.000,-6.000,4.000,0.407,-0.643,-2.430,-0.79,-2.77,1.80
0.100,-0.825,-0.994,1.286,-34.000,11.000,5.000,-1.914,-2.797,-3.929,-0.36,-2.45,2.03
0.101,-0.830,-0.580,0.649,-32.000,16.000,7.000,0.953,-0.807,-0.714,-0.25,-2.54,2.04
0.101,-0.958,-0.332,0.586,-31.000,21.000,5.000,-0.471,0.121,-1.239,-0.18,-2.47,2.15
