delta,ax,ay,az,mx,my,mz,gx,gy,gz,pitch,roll,yaw
0.101,0.720,0.522,-0.352,32.000,-26.000,-27.000,0.703,2.024,-1.639,-1.13,-0.72,0.19
0.100,0.762,0.383,-0.522,27.000,-25.000,-36.000,-1.344,1.116,-0.958,-0.99,-0.62,0.15
0.100,0.684,0.189,-0.545,18.000,-24.000,-39.000,-2.747,1.114,-1.989,-0.81,-0.50,-0.04
0.101,0.615,-0.107,-0.607,9.000,-21.000,-35.000,-1.546,0.817,-1.242,-0.70,-0.42,-0.14
0.100,0.573,-0.391,-0.748,2.000,-18.000,-44.000,-1.333,0.574,-0.951,-0.63,-0.34,-0.23
0.111,0.374,-0.974,-1.138,-8.000,-8.000,-42.000,-1.357,1.223,-2.304,-0.44,-0.29,-0.45
0.101,0.384,-0.810,-0.709,-12.000,-9.000,-42.000,-0.277,-0.036,-0.610,-0.44,-0.28,-0.51
0.090,0.273,-0.310,-0.515,-13.000,-6.000,-42.000,-0.290,0.685,-0.477,-0.39,-0.26,-0.54
0.101,0.004,-0.856,-0.476,-14.000,3.000,-32.000,-0.817,1.757,-1.892,-0.18,-0.20,-0.68
0.101,-0.179,-1.255,-0.877,-12.000,11.000,-33.000,0.019,0.580,-0.855,-0.11,-0.20,-0.75
0.101,-0.148,-0.843,-0.760,-13.000,12.000,-31.000,0.146,0.104,0.134,-0.11,-0.19,-0.74
0.101,-0.114,-0.661,-0.583,-13.000,13.000,-28.000,0.029,0.194,0.002,-0.10,-0.17,-0.74
0.101,-0.114,-0.731,-0.488,-13.000,15.000,-29.000,-0.086,0.232,-0.704,-0.07,-0.15,-0.81
0.100,-0.253,-0.632,-0.468,-10.000,14.000,-24.000,-0.029,0.411,-0.926,-0.02,-0.13,-0.90
0.091,-0.372,-0.767,-0.661,-6.000,18.000,-29.000,0.051,0.134,-0.704,0.00,-0.12,-0.96
0.100,-0.444,-0.699,-0.906,-4.000,15.000,-22.000,-0.088,-0.284,-0.874,-0.01,-0.10,-1.06
0.101,-0.440,-0.728,-0.671,-5.000,14.000,-21.000,-0.158,-0.586,-0.255,-0.06,-0.06,-1.09
0.100,-0.351,-0.698,-0.431,-3.000,13.000,-30.000,-0.075,-0.588,0.664,-0.12,-0.03,-1.03
0.101,-0.320,-0.667,-0.679,-6.000,11.000,-26.000,-0.285,-0.959,0.802,-0.21,0.03,-0.95
0.101,-0.173,-0.845,-0.524,-10.000,6.000,-28.000,0.168,-1.519,0.534,-0.36,0.05,-0.88
0.100,-0.076,-0.781,-0.614,-13.000,3.000,-26.000,-0.376,-0.391,0.262,-0.40,0.12,-0.84
0.101,-0.043,-0.869,-0.658,-17.000,0.000,-30.000,-0.415,-0.573,0.245,-0.46,0.20,-0.80
0.101,0.047,-0.995,-0.591,-21.000,-8.000,-28.000,-0.322,-0.973,0.550,-0.55,0.30,-0.70
0.101,0.164,-0.849,-0.391,-28.000,-17.000,-27.000,-0.474,-0.876,0.391,-0.64,0.41,-0.61
0.101,0.212,-0.826,-0.337,-32.000,-23.000,-26.000,-0.511,-0.659,-0.066,-0.71,0.50,-0.56
0.100,0.203,-0.982,-0.391,-42.000,-31.000,-20.000,-0.708,-0.812,0.017,-0.79,0.63,-0.48
0.101,0.291,-0.804,-0.171,-52.000,-39.000,-10.000,-1.538,-1.208,0.806,-0.82,0.96,-0.25
0.101,0.393,-0.775,0.004,-56.000,-46.000,-7.000,-1.300,-1.086,1.669,-0.71,1.28,0.01
0.101,0.498,-0.900,0.037,-54.000,-46.000,-5.000,-0.836,-0.310,0.796,-0.63,1.42,0.09
0.091,0.531,-0.879,0.086,-51.000,-48.000,-6.000,-0.525,-0.131,0.639,-0.56,1.49,0.12
0.101,0.581,-0.886,0.194,-49.000,-48.000,0.000,-0.884,-0.173,0.604,-0.49,1.58,0.14
0.100,0.642,-0.877,0.292,-43.000,-45.000,-2.000,-0.864,-0.147,1.261,-0.35,1.66,0.15
0.101,0.771,-0.736,0.496,-34.000,-46.000,0.000,-0.665,0.638,1.297,-0.23,1.69,0.06
0.101,0.846,-0.247,0.355,-28.000,-48.000,-3.000,-0.970,0.143,1.094,-0.13,1.78,0.03
0.101,0.877,-0.241,0.240,-20.000,-48.000,-6.000,-0.464,0.116,0.560,-0.08,1.81,0.00
0.100,0.932,-0.337,0.338,-19.000,-46.000,-3.000,0.013,0.350,-0.199,-0.12,1.80,-0.03
0.111,0.942,-0.389,0.253,-18.000,-47.000,-10.000,-0.336,0.548,0.214,-0.12,1.82,-0.09
0.091,0.914,-0.269,0.156,-13.000,-44.000,-12.000,-0.239,0.565,0.182,-0.13,1.84,-0.15
0.101,0.913,-0.114,-0.083,-17.000,-42.000,-12.000,-0.313,0.733,-0.071,-0.17,1.86,-0.22
0.100,0.938,-0.218,-0.008,-15.000,-39.000,-17.000,-0.299,0.669,-0.455,-0.24,1.88,-0.27
